name,layer_type,batch_input_shape,batch_output_shape,connected_to,params,filters,kernel_size,activation,padding,strides,pool_size,units,dtype,trainable,function_type,use_bias,axis,scale,moving_mean_initializer,bias_regularizer,moving_variance_initializer,gamma_constraint,arguments,bias_initializer,beta_regularizer,output_shape,momentum,output_shape_type,function,gamma_initializer,kernel_initializer,kernel_constraint,epsilon,beta_initializer,activity_regularizer,beta_constraint,center,bias_constraint,data_format,dilation_rate,kernel_regularizer,sparse,gamma_regularizer
input_1,InputLayer,"(None, 224, 224, 3)","(None, 224, 224, 3)",,0,,,,,,,,float32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
conv2d_1,Conv2D,"(None, 224, 224, 3)","(None, 111, 111, 32)",input_1,864,32,"(3, 3)",linear,valid,"(2, 2)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_1,BatchNormalization,"(None, 111, 111, 32)","(None, 111, 111, 32)",conv2d_1,96,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_1,Activation,"(None, 111, 111, 32)","(None, 111, 111, 32)",batch_normalization_1,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2d_2,Conv2D,"(None, 111, 111, 32)","(None, 109, 109, 32)",activation_1,9216,32,"(3, 3)",linear,valid,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_2,BatchNormalization,"(None, 109, 109, 32)","(None, 109, 109, 32)",conv2d_2,96,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_2,Activation,"(None, 109, 109, 32)","(None, 109, 109, 32)",batch_normalization_2,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2d_3,Conv2D,"(None, 109, 109, 32)","(None, 109, 109, 64)",activation_2,18432,64,"(3, 3)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_3,BatchNormalization,"(None, 109, 109, 64)","(None, 109, 109, 64)",conv2d_3,192,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_3,Activation,"(None, 109, 109, 64)","(None, 109, 109, 64)",batch_normalization_3,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_pooling2d_1,MaxPooling2D,"(None, 109, 109, 64)","(None, 54, 54, 64)",activation_3,0,,,,valid,"(2, 2)","(3, 3)",,,True,,,,,,,,,,,,,,,,,,,,,,,,,channels_last,,,,
conv2d_4,Conv2D,"(None, 54, 54, 64)","(None, 54, 54, 80)",max_pooling2d_1,5120,80,"(1, 1)",linear,valid,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_4,BatchNormalization,"(None, 54, 54, 80)","(None, 54, 54, 80)",conv2d_4,240,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_4,Activation,"(None, 54, 54, 80)","(None, 54, 54, 80)",batch_normalization_4,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2d_5,Conv2D,"(None, 54, 54, 80)","(None, 52, 52, 192)",activation_4,138240,192,"(3, 3)",linear,valid,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_5,BatchNormalization,"(None, 52, 52, 192)","(None, 52, 52, 192)",conv2d_5,576,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_5,Activation,"(None, 52, 52, 192)","(None, 52, 52, 192)",batch_normalization_5,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_pooling2d_2,MaxPooling2D,"(None, 52, 52, 192)","(None, 25, 25, 192)",activation_5,0,,,,valid,"(2, 2)","(3, 3)",,,True,,,,,,,,,,,,,,,,,,,,,,,,,channels_last,,,,
conv2d_9,Conv2D,"(None, 25, 25, 192)","(None, 25, 25, 64)",max_pooling2d_2,12288,64,"(1, 1)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_9,BatchNormalization,"(None, 25, 25, 64)","(None, 25, 25, 64)",conv2d_9,192,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_9,Activation,"(None, 25, 25, 64)","(None, 25, 25, 64)",batch_normalization_9,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2d_7,Conv2D,"(None, 25, 25, 192)","(None, 25, 25, 48)",max_pooling2d_2,9216,48,"(1, 1)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv2d_10,Conv2D,"(None, 25, 25, 64)","(None, 25, 25, 96)",activation_9,55296,96,"(3, 3)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_7,BatchNormalization,"(None, 25, 25, 48)","(None, 25, 25, 48)",conv2d_7,144,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
batch_normalization_10,BatchNormalization,"(None, 25, 25, 96)","(None, 25, 25, 96)",conv2d_10,288,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_7,Activation,"(None, 25, 25, 48)","(None, 25, 25, 48)",batch_normalization_7,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activation_10,Activation,"(None, 25, 25, 96)","(None, 25, 25, 96)",batch_normalization_10,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
average_pooling2d_1,AveragePooling2D,"(None, 25, 25, 192)","(None, 25, 25, 192)",max_pooling2d_2,0,,,,same,"(1, 1)","(3, 3)",,,True,,,,,,,,,,,,,,,,,,,,,,,,,channels_last,,,,
conv2d_6,Conv2D,"(None, 25, 25, 192)","(None, 25, 25, 96)",max_pooling2d_2,18432,96,"(1, 1)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv2d_8,Conv2D,"(None, 25, 25, 48)","(None, 25, 25, 64)",activation_7,76800,64,"(5, 5)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv2d_11,Conv2D,"(None, 25, 25, 96)","(None, 25, 25, 96)",activation_10,82944,96,"(3, 3)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv2d_12,Conv2D,"(None, 25, 25, 192)","(None, 25, 25, 64)",average_pooling2d_1,12288,64,"(1, 1)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_6,BatchNormalization,"(None, 25, 25, 96)","(None, 25, 25, 96)",conv2d_6,288,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
batch_normalization_8,BatchNormalization,"(None, 25, 25, 64)","(None, 25, 25, 64)",conv2d_8,192,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
batch_normalization_11,BatchNormalization,"(None, 25, 25, 96)","(None, 25, 25, 96)",conv2d_11,288,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
batch_normalization_12,BatchNormalization,"(None, 25, 25, 64)","(None, 25, 25, 64)",conv2d_12,192,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_6,Activation,"(None, 25, 25, 96)","(None, 25, 25, 96)",batch_normalization_6,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activation_8,Activation,"(None, 25, 25, 64)","(None, 25, 25, 64)",batch_normalization_8,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activation_11,Activation,"(None, 25, 25, 96)","(None, 25, 25, 96)",batch_normalization_11,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activation_12,Activation,"(None, 25, 25, 64)","(None, 25, 25, 64)",batch_normalization_12,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mixed_5b,Concatenate,"[(None, 25, 25, 96), (None, 25, 25, 64), (None, 25, 25, 96), (None, 25, 25, 64)]","(None, 25, 25, 320)",activation_6/activation_8/activation_11/activation_12,0,,,,,,,,,True,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2d_16,Conv2D,"(None, 25, 25, 320)","(None, 25, 25, 32)",mixed_5b,10240,32,"(1, 1)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_16,BatchNormalization,"(None, 25, 25, 32)","(None, 25, 25, 32)",conv2d_16,96,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_16,Activation,"(None, 25, 25, 32)","(None, 25, 25, 32)",batch_normalization_16,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2d_14,Conv2D,"(None, 25, 25, 320)","(None, 25, 25, 32)",mixed_5b,10240,32,"(1, 1)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv2d_17,Conv2D,"(None, 25, 25, 32)","(None, 25, 25, 48)",activation_16,13824,48,"(3, 3)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_14,BatchNormalization,"(None, 25, 25, 32)","(None, 25, 25, 32)",conv2d_14,96,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
batch_normalization_17,BatchNormalization,"(None, 25, 25, 48)","(None, 25, 25, 48)",conv2d_17,144,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_14,Activation,"(None, 25, 25, 32)","(None, 25, 25, 32)",batch_normalization_14,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activation_17,Activation,"(None, 25, 25, 48)","(None, 25, 25, 48)",batch_normalization_17,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2d_13,Conv2D,"(None, 25, 25, 320)","(None, 25, 25, 32)",mixed_5b,10240,32,"(1, 1)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv2d_15,Conv2D,"(None, 25, 25, 32)","(None, 25, 25, 32)",activation_14,9216,32,"(3, 3)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv2d_18,Conv2D,"(None, 25, 25, 48)","(None, 25, 25, 64)",activation_17,27648,64,"(3, 3)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_13,BatchNormalization,"(None, 25, 25, 32)","(None, 25, 25, 32)",conv2d_13,96,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
batch_normalization_15,BatchNormalization,"(None, 25, 25, 32)","(None, 25, 25, 32)",conv2d_15,96,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
batch_normalization_18,BatchNormalization,"(None, 25, 25, 64)","(None, 25, 25, 64)",conv2d_18,192,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_13,Activation,"(None, 25, 25, 32)","(None, 25, 25, 32)",batch_normalization_13,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activation_15,Activation,"(None, 25, 25, 32)","(None, 25, 25, 32)",batch_normalization_15,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activation_18,Activation,"(None, 25, 25, 64)","(None, 25, 25, 64)",batch_normalization_18,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block35_1_mixed,Concatenate,"[(None, 25, 25, 32), (None, 25, 25, 32), (None, 25, 25, 64)]","(None, 25, 25, 128)",activation_13/activation_15/activation_18,0,,,,,,,,,True,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
block35_1_conv,Conv2D,"(None, 25, 25, 128)","(None, 25, 25, 320)",block35_1_mixed,41280,320,"(1, 1)",linear,same,"(1, 1)",,,,True,,True,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
block35_1,Lambda,"[(None, 25, 25, 320), (None, 25, 25, 320)]","(None, 25, 25, 320)",mixed_5b/block35_1_conv,0,,,,,,,,,True,lambda,,,,,,,,{'scale': 0.17},,,"(25, 25, 320)",,raw,"(u'YwIAAAACAAAAAwAAAFNgAQBzFAAAAHwAAGQBABl8AABkAgAZfAEAFBdTKAMAAABOaQAAAABpAQAA\nACgAAAAAKAIAAAB0BgAAAGlucHV0c3QFAAAAc2NhbGUoAAAAACgAAAAAc3oAAAAvVXNlcnMva2Fu\nZ3N1amluL0RvY3VtZW50cy9TVUpJTi9JLVNVUkYgcHJvamVjdC92ZW52L2xpYi9weXRob24yLjcv\nc2l0ZS1wYWNrYWdlcy9rZXJhc19hcHBsaWNhdGlvbnMvaW5jZXB0aW9uX3Jlc25ldF92Mi5weXQI\nAAAAPGxhbWJkYT6qAAAAdAAAAAA=\n', None, None)",,,,,,,,,,,,,,
block35_1_ac,Activation,"(None, 25, 25, 320)","(None, 25, 25, 320)",block35_1,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2d_22,Conv2D,"(None, 25, 25, 320)","(None, 25, 25, 32)",block35_1_ac,10240,32,"(1, 1)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_22,BatchNormalization,"(None, 25, 25, 32)","(None, 25, 25, 32)",conv2d_22,96,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_22,Activation,"(None, 25, 25, 32)","(None, 25, 25, 32)",batch_normalization_22,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2d_20,Conv2D,"(None, 25, 25, 320)","(None, 25, 25, 32)",block35_1_ac,10240,32,"(1, 1)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv2d_23,Conv2D,"(None, 25, 25, 32)","(None, 25, 25, 48)",activation_22,13824,48,"(3, 3)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_20,BatchNormalization,"(None, 25, 25, 32)","(None, 25, 25, 32)",conv2d_20,96,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
batch_normalization_23,BatchNormalization,"(None, 25, 25, 48)","(None, 25, 25, 48)",conv2d_23,144,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_20,Activation,"(None, 25, 25, 32)","(None, 25, 25, 32)",batch_normalization_20,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activation_23,Activation,"(None, 25, 25, 48)","(None, 25, 25, 48)",batch_normalization_23,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv2d_19,Conv2D,"(None, 25, 25, 320)","(None, 25, 25, 32)",block35_1_ac,10240,32,"(1, 1)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv2d_21,Conv2D,"(None, 25, 25, 32)","(None, 25, 25, 32)",activation_20,9216,32,"(3, 3)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv2d_24,Conv2D,"(None, 25, 25, 48)","(None, 25, 25, 64)",activation_23,27648,64,"(3, 3)",linear,same,"(1, 1)",,,,True,,False,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
batch_normalization_19,BatchNormalization,"(None, 25, 25, 32)","(None, 25, 25, 32)",conv2d_19,96,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
batch_normalization_21,BatchNormalization,"(None, 25, 25, 32)","(None, 25, 25, 32)",conv2d_21,96,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
batch_normalization_24,BatchNormalization,"(None, 25, 25, 64)","(None, 25, 25, 64)",conv2d_24,192,,,,,,,,,True,,,3,False,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,,,0.99,,,"{'class_name': 'Ones', 'config': {}}",,,0.001,"{'class_name': 'Zeros', 'config': {}}",,,True,,,,,,
activation_19,Activation,"(None, 25, 25, 32)","(None, 25, 25, 32)",batch_normalization_19,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activation_21,Activation,"(None, 25, 25, 32)","(None, 25, 25, 32)",batch_normalization_21,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activation_24,Activation,"(None, 25, 25, 64)","(None, 25, 25, 64)",batch_normalization_24,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block35_2_mixed,Concatenate,"[(None, 25, 25, 32), (None, 25, 25, 32), (None, 25, 25, 64)]","(None, 25, 25, 128)",activation_19/activation_21/activation_24,0,,,,,,,,,True,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
block35_2_conv,Conv2D,"(None, 25, 25, 128)","(None, 25, 25, 320)",block35_2_mixed,41280,320,"(1, 1)",linear,same,"(1, 1)",,,,True,,True,,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
block35_2,Lambda,"[(None, 25, 25, 320), (None, 25, 25, 320)]","(None, 25, 25, 320)",block35_1_ac/block35_2_conv,0,,,,,,,,,True,lambda,,,,,,,,{'scale': 0.17},,,"(25, 25, 320)",,raw,"(u'YwIAAAACAAAAAwAAAFNgAQBzFAAAAHwAAGQBABl8AABkAgAZfAEAFBdTKAMAAABOaQAAAABpAQAA\nACgAAAAAKAIAAAB0BgAAAGlucHV0c3QFAAAAc2NhbGUoAAAAACgAAAAAc3oAAAAvVXNlcnMva2Fu\nZ3N1amluL0RvY3VtZW50cy9TVUpJTi9JLVNVUkYgcHJvamVjdC92ZW52L2xpYi9weXRob24yLjcv\nc2l0ZS1wYWNrYWdlcy9rZXJhc19hcHBsaWNhdGlvbnMvaW5jZXB0aW9uX3Jlc25ldF92Mi5weXQI\nAAAAPGxhbWJkYT6qAAAAdAAAAAA=\n', None, None)",,,,,,,,,,,,,,
block35_2_ac,Activation,"(None, 25, 25, 320)","(None, 25, 25, 320)",block35_2,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
