name,layer_type,batch_input_shape,batch_output_shape,connected_to,params,filters,kernel_size,activation,padding,strides,pool_size,units,dtype,trainable,use_bias,axis,scale,moving_mean_initializer,bias_regularizer,moving_variance_initializer,gamma_constraint,bias_initializer,beta_regularizer,momentum,gamma_initializer,kernel_initializer,kernel_constraint,epsilon,activity_regularizer,beta_initializer,beta_constraint,center,bias_constraint,data_format,dilation_rate,kernel_regularizer,sparse,gamma_regularizer
conv4_block24_0_relu,Activation,"(None, 14, 14, 992)","(None, 14, 14, 992)",conv4_block24_0_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv4_block24_1_conv,Conv2D,"(None, 14, 14, 992)","(None, 14, 14, 128)",conv4_block24_0_relu,126976,128,"(1, 1)",linear,valid,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv4_block24_1_bn,BatchNormalization,"(None, 14, 14, 128)","(None, 14, 14, 128)",conv4_block24_1_conv,512,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv4_block24_1_relu,Activation,"(None, 14, 14, 128)","(None, 14, 14, 128)",conv4_block24_1_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv4_block24_2_conv,Conv2D,"(None, 14, 14, 128)","(None, 14, 14, 32)",conv4_block24_1_relu,36864,32,"(3, 3)",linear,same,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv4_block24_concat,Concatenate,"[(None, 14, 14, 992), (None, 14, 14, 32)]","(None, 14, 14, 1024)",conv4_block23_concat/conv4_block24_2_conv,0,,,,,,,,,True,,3,,,,,,,,,,,,,,,,,,,,,,
pool4_bn,BatchNormalization,"(None, 14, 14, 1024)","(None, 14, 14, 1024)",conv4_block24_concat,4096,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
pool4_relu,Activation,"(None, 14, 14, 1024)","(None, 14, 14, 1024)",pool4_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
pool4_conv,Conv2D,"(None, 14, 14, 1024)","(None, 14, 14, 512)",pool4_relu,524288,512,"(1, 1)",linear,valid,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
pool4_pool,AveragePooling2D,"(None, 14, 14, 512)","(None, 7, 7, 512)",pool4_conv,0,,,,valid,"(2, 2)","(2, 2)",,,True,,,,,,,,,,,,,,,,,,,,channels_last,,,,
conv5_block1_0_bn,BatchNormalization,"(None, 7, 7, 512)","(None, 7, 7, 512)",pool4_pool,2048,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block1_0_relu,Activation,"(None, 7, 7, 512)","(None, 7, 7, 512)",conv5_block1_0_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block1_1_conv,Conv2D,"(None, 7, 7, 512)","(None, 7, 7, 128)",conv5_block1_0_relu,65536,128,"(1, 1)",linear,valid,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block1_1_bn,BatchNormalization,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block1_1_conv,512,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block1_1_relu,Activation,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block1_1_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block1_2_conv,Conv2D,"(None, 7, 7, 128)","(None, 7, 7, 32)",conv5_block1_1_relu,36864,32,"(3, 3)",linear,same,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block1_concat,Concatenate,"[(None, 7, 7, 512), (None, 7, 7, 32)]","(None, 7, 7, 544)",pool4_pool/conv5_block1_2_conv,0,,,,,,,,,True,,3,,,,,,,,,,,,,,,,,,,,,,
conv5_block2_0_bn,BatchNormalization,"(None, 7, 7, 544)","(None, 7, 7, 544)",conv5_block1_concat,2176,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block2_0_relu,Activation,"(None, 7, 7, 544)","(None, 7, 7, 544)",conv5_block2_0_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block2_1_conv,Conv2D,"(None, 7, 7, 544)","(None, 7, 7, 128)",conv5_block2_0_relu,69632,128,"(1, 1)",linear,valid,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block2_1_bn,BatchNormalization,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block2_1_conv,512,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block2_1_relu,Activation,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block2_1_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block2_2_conv,Conv2D,"(None, 7, 7, 128)","(None, 7, 7, 32)",conv5_block2_1_relu,36864,32,"(3, 3)",linear,same,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block2_concat,Concatenate,"[(None, 7, 7, 544), (None, 7, 7, 32)]","(None, 7, 7, 576)",conv5_block1_concat/conv5_block2_2_conv,0,,,,,,,,,True,,3,,,,,,,,,,,,,,,,,,,,,,
conv5_block3_0_bn,BatchNormalization,"(None, 7, 7, 576)","(None, 7, 7, 576)",conv5_block2_concat,2304,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block3_0_relu,Activation,"(None, 7, 7, 576)","(None, 7, 7, 576)",conv5_block3_0_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
conv5_block3_1_conv,Conv2D,"(None, 7, 7, 576)","(None, 7, 7, 128)",conv5_block3_0_relu,73728,128,"(1, 1)",linear,valid,"(1, 1)",,,,True,False,,,,,,,"{'class_name': 'Zeros', 'config': {}}",,,,"{'class_name': 'VarianceScaling', 'config': {'distribution': 'uniform', 'scale': 1.0, 'seed': None, 'mode': 'fan_avg'}}",,,,,,,,channels_last,"(1, 1)",,,
conv5_block3_1_bn,BatchNormalization,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block3_1_conv,512,,,,,,,,,True,,3,True,"{'class_name': 'Zeros', 'config': {}}",,"{'class_name': 'Ones', 'config': {}}",,,,0.99,"{'class_name': 'Ones', 'config': {}}",,,1.001e-05,,"{'class_name': 'Zeros', 'config': {}}",,True,,,,,,
conv5_block3_1_relu,Activation,"(None, 7, 7, 128)","(None, 7, 7, 128)",conv5_block3_1_bn,0,,,relu,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
